,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Wii Sports,Wii,2006.0,Sports,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
1,Super Mario Bros.,NES,1985.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
2,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
4,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
5,Tetris,GB,1989.0,Puzzle,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
6,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
7,Wii Play,Wii,2006.0,Misc,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,129.0,Nintendo,E
8,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
9,Duck Hunt,NES,1984.0,Shooter,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
10,Nintendogs,DS,2005.0,Simulation,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
11,Mario Kart DS,DS,2005.0,Racing,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
12,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
13,Wii Fit,Wii,2007.0,Sports,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,146.0,Nintendo,E
14,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,106.0,Good Science Studio,E
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.4,52.0,Nintendo,E
16,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Rockstar North,M
17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Rockstar North,M
18,Super Mario World,SNES,1990.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,50.0,Nintendo,E
20,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
21,Super Mario Land,GB,1989.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
22,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
23,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Rockstar North,M
24,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Rockstar North,M
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
26,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,29.0,Nintendo,E
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
28,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Polyphony Digital,E
29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,"Infinity Ward, Sledgehammer Games",M
30,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
31,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Treyarch,M
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
34,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,22.0,7.116133442712647,156.67227235438884,Treyarch,M
35,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Treyarch,M
36,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Infinity Ward,M
37,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,"Infinity Ward, Sledgehammer Games",M
38,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,DMA Design,M
39,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Game Arts,T
40,Mario Kart 7,3DS,2011.0,Racing,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,"Retro Studios, Entertainment Analysis & Development Division",E
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Treyarch,M
42,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Rockstar North,M
43,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,"Bungie Software, Bungie",M
45,Super Mario 64,N64,1996.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,0.29,0.01,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Polyphony Digital,E
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
50,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
51,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Rockstar North,M
52,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,22.0,7.7,138.0,Polyphony Digital,E
53,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.7,156.67227235438884,Nintendo,E
54,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.5,156.67227235438884,Polyphony Digital,E
55,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Infinity Ward,M
56,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.5,156.67227235438884,Rockstar North,M
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
59,Super Mario 64,DS,2004.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,68.81214905564063,26.168198060234815,7.116133442712647,156.67227235438884,Ubisoft,E
60,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,0.29,0.14,0.04,0.04,0.57,73.0,26.168198060234815,7.116133442712647,156.67227235438884,Infinity Ward,M
61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,0.29,0.14,0.0,0.04,0.57,73.0,22.0,7.7,29.0,Ubisoft,E10+
62,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,0.29,0.14,0.06,0.04,0.57,73.0,26.168198060234815,7.2,156.67227235438884,Nintendo,E
